retailer,year,month,mpg,product,product_id,source_product,unit_type,quantity,cases_per_drp,cases,source_sheet,source_row,promo_id,promotion_type,date_source,product_pack_size,base_pack_size,conversion_note
BT-SOBEYS ONTARIO,2025,January,Creamer 6/750ml,CREAMER 6/750ML,TDDCR-6/750,CREAMER 6/750ML,CASE,701.0,,701.0,2025,9,000I0AF4M,TPR/ISF,2025-01-01,Creamer 6/750ml,Creamer 6/750ml,Product-level forecast total cases
BT-SOBEYS ONTARIO,2025,January,R&G Small Bag 6/300g,R&G SMALL BAG 6/300GR,TDRGSB-6/300,R&G SMALL BAG 6/300GR,CASE,220.0,,220.0,2025,7,000I31U0V,Flyer,2025-01-01,R&G Small Bag 6/300g,R&G Small Bag 6/300g,Product-level forecast total cases
CG-COSTCO EAST,2025,January,HB Mix 256/30ea,TDL HOT CHOC / FV PACKET 256/30 EA,6320915282,TDL HOT CHOC / FV PACKET 256/30 EA,CASE,138.0,,138.0,2025,15,000HRCB5N,Flyer & Display,2025-01-19,HB Mix 256/30ea,HB Mix 256/30ea,Product-level forecast total cases
CG-COSTCO EAST,2025,January,R&G Large Can 252/3lb,TDL ORIGINAL BLEND 252/3 LB,6320908885,TDL ORIGINAL BLEND 252/3 LB,CASE,4985.0,,4985.0,2025,13,000I19RL6,Display,2025-01-01,R&G Large Can 252/3lb,R&G Large Can 252/3lb,Product-level forecast total cases
CG-COSTCO EAST,2026,January,R&G Large Can 252/3lb,TDL ORIGINAL BLEND 252/3 LB,6320908885,TDL ORIGINAL BLEND 252/3 LB,CASE,5918.0,,5918.0,2026,7,000ITPJOP,Display,2026-01-01,R&G Large Can 252/3lb,R&G Large Can 252/3lb,Product-level forecast total cases
CG-COSTCO WEST,2025,October,HB Mix 256/30ea,TDL HOT CHOC / FV PACKET 256/30 EA,6320915282,TDL HOT CHOC / FV PACKET 256/30 EA,CASE,0.0,,0.0,2025,21,000IYJFOF,Display,2025-10-27,HB Mix 256/30ea,HB Mix 256/30ea,Product-level forecast total cases
CG-COSTCO WEST,2025,January,R&G Large Can 252/3lb,TDL ORIGINAL BLEND 252/3 LB,6320908885,TDL ORIGINAL BLEND 252/3 LB,CASE,76.0,,76.0,2025,17,000HRBT2A,TPR/ISF,2025-01-01,R&G Large Can 252/3lb,R&G Large Can 252/3lb,Product-level forecast total cases
CG-COSTCO WEST,2025,January,R&G Large Can 252/3lb,TDL ORIGINAL BLEND 252/3 LB,6320908885,TDL ORIGINAL BLEND 252/3 LB,CASE,76.0,,76.0,2025,19,000HRCB8Q,Display,2025-01-01,R&G Large Can 252/3lb,R&G Large Can 252/3lb,Product-level forecast total cases
CG-COSTCO WEST,2026,January,R&G Large Can 252/3lb,TDL ORIGINAL BLEND 252/3 LB,6320908885,TDL ORIGINAL BLEND 252/3 LB,CASE,264.0,,264.0,2026,9,000ITPJO2,Display,2026-01-01,R&G Large Can 252/3lb,R&G Large Can 252/3lb,Product-level forecast total cases
CG-SDM,2025,May,HB Cappuccino 12/454g,HB CAPPUCCINO 12/454GR,TDHBCAP-12/343,HB CAPPUCCINO 12/454GR,CASE,176.0,,176.0,2025,45,000HRCHS5,TPR/ISF,2025-05-12,HB Cappuccino 12/454g,HB Cappuccino 12/454g,Product-level forecast total cases
CG-SDM,2025,August,HB Cappuccino 12/454g,HB CAPPUCCINO 12/454GR,TDHBCAP-12/343,HB CAPPUCCINO 12/454GR,CASE,229.0,,229.0,2025,127,000HRCIFN,TPR/ISF,2025-08-04,HB Cappuccino 12/454g,HB Cappuccino 12/454g,Product-level forecast total cases
CG-SDM,2025,October,HB Cappuccino 12/454g,HB CAPPUCCINO 12/454GR,TDHBCAP-12/343,HB CAPPUCCINO 12/454GR,CASE,225.0,,225.0,2025,205,000IOM0D5,TPR/ISF,2025-10-27,HB Cappuccino 12/454g,HB Cappuccino 12/454g,Product-level forecast total cases
CG-SDM,2026,August,HB Cappuccino 12/454g,HB CAPPUCCINO 12/454GR,TDHBCAP-12/343,HB CAPPUCCINO 12/454GR,CASE,230.0,,230.0,2026,201,000IOWLF2,TPR/ISF,2026-08-04,HB Cappuccino 12/454g,HB Cappuccino 12/454g,Product-level forecast total cases
