comparison_key,product_id,product,blended_product_group,blended_mpg,separate_product_group,separate_mpg,cases_per_display,converted,conversion_note
mom,6320917215,TDL GRANOLA BAR BC/DC/SC DISP 56/5 EA,Granola,Granola Bar 12/5/30g,Granola Displays,Granola Bar 56/5ea,4.666667,yes,Display pack 56/5EA converted to regular case pack 12/5EA
mom,6320912137,TDL ORIGINAL HOT CHOC DISPLAY 36/500 GR,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 36/500g,3.0,yes,Display pack 36/500G converted to regular case pack 12/500G
mom,6320920672,TDL ORG/CANDY HOT CHOC DISPLAY 36/500 GR,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 36/500g,3.0,yes,Display pack 36/500G converted to regular case pack 12/500G
mom,6320924585,TDL ORG/CANDY HOT CHOC 1/2 DRP 240/500 G,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 240/500g,20.0,yes,Display pack 240/500G converted to regular case pack 12/500G
mom,TDHBHC-36/500,HB HOT CHOCOLATE 36/500GR,Hot Chocolate,HB Hot Chocolate 12/500g,Hot Chocolate Displays,HB Hot Chocolate 36/500g,3.0,yes,Display pack 36/500G converted to regular case pack 12/500G
mom,6320917577,TDL HOT CHOCOLATE 1/2 DRP 144/1.5 KG,Hot Chocolate,HB Hot Chocolate 6/1.5kg,Hot Chocolate Displays,HB Hot Chocolate 144/1.5kg,24.0,yes,Display pack 144/1.5KG converted to regular case pack 6/1.5KG
mom,6320925922,TDL INST MED/IC SYR CAP/MOC 1/2DRP 288EA,Instant,Instant & Syrup Drp 288/1ea,Instant Displays,Instant & Syrup Drp 288/1ea,1.0,no,Display product without matching regular pack; left as reported cases
mom,6320912112,TDL INSTANT COFFEE MEDIUM DISPLY36/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 36/100g,3.0,yes,Display pack 36/100G converted to regular case pack 12/100G
mom,6320915513,TDL INSTANT MED/DR/DCF 1/2 DRP 288/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 288/100g,24.0,yes,Display pack 288/100G converted to regular case pack 12/100G
mom,6320917762,TDL INSTANT COFFEE MED FLR DISP 60/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 60/100g,5.0,yes,Display pack 60/100G converted to regular case pack 12/100G
