product_id,product,mpg,unit_type,product_pack_size,base_pack_size,cases_per_drp,conversion_note
TDDCR-6/750,CREAMER 6/750ML,Creamer 6/750ml,CASE,Creamer 6/750ml,Creamer 6/750ml,,Product-level forecast total cases
6320914195,TDL GRANOLA BAR APPLE FRITTER 12/5 EA,Granola Bar 12/5/30g,CASE,Granola Bar 12/5/30g,Granola Bar 12/5/30g,,Product-level forecast total cases
6320914197,TDL GRANOLA BAR SALTED CARAMEL 12/5 EA,Granola Bar 12/5/30g,CASE,Granola Bar 12/5/30g,Granola Bar 12/5/30g,,Product-level forecast total cases
6320916556,TDL GRANOLA BAR BLUEBERRY 12/5 EA,Granola Bar 12/5/30g,CASE,Granola Bar 12/5/30g,Granola Bar 12/5/30g,,Product-level forecast total cases
TDGB-12/5/30,GRANOLA BAR 12/5/30GR,Granola Bar 12/5/30g,CASE,Granola Bar 12/5/30g,Granola Bar 12/5/30g,,Product-level forecast total cases
6320914293,TDL GRANOLA BAR AF/DC/SC DISP 56/5 EA,Granola Bar 56/5ea,DRP,Granola Bar 56/5ea,Granola Bar 56/5ea,1.0,Display product without matching regular pack; left as reported cases
6320917215,TDL GRANOLA BAR BC/DC/SC DISP 56/5 EA,Granola Bar 56/5ea,DRP,Granola Bar 56/5ea,Granola Bar 56/5ea,1.0,Display product without matching regular pack; left as reported cases
TDGB-56/5,GRANOLA BAR 56/5EA,Granola Bar 56/5ea,DRP,Granola Bar 56/5ea,Granola Bar 56/5ea,1.0,Display product without matching regular pack; left as reported cases
6320909370,TDL CAPPUCCINO FRENCH VANILLA 12/454 GR,HB Cappuccino 12/454g,CASE,HB Cappuccino 12/454g,HB Cappuccino 12/454g,,Product-level forecast total cases
TDHBCAP-12/343,HB CAPPUCCINO 12/454GR,HB Cappuccino 12/454g,CASE,HB Cappuccino 12/454g,HB Cappuccino 12/454g,,Product-level forecast total cases
6320915305,TDL CAPPUCCINO FRENCH VAN PACKET 5/8 EA,HB Cappuccino 5/8ct,CASE,HB Cappuccino 5/8ct,HB Cappuccino 5/8ct,,Product-level forecast total cases
6320916881,TDL DOUBLE DOUBLE PACKET 5/8 EA,HB Cappuccino 5/8ct,CASE,HB Cappuccino 5/8ct,HB Cappuccino 5/8ct,,Product-level forecast total cases
6320916882,TDL CAFE MOCHA PACKET 5/8 EA,HB Cappuccino 5/8ct,CASE,HB Cappuccino 5/8ct,HB Cappuccino 5/8ct,,Product-level forecast total cases
TDHBCAP-5/8,HB CAPPUCCINO 5/8CT,HB Cappuccino 5/8ct,CASE,HB Cappuccino 5/8ct,HB Cappuccino 5/8ct,,Product-level forecast total cases
