comparison_key,reason,banner,market,year,period,product_id,product,promo_id,promo_status,forecast_incremental_cases,execution_start,execution_end,source_workbook,source_sheet,source_row,description
mom,Fcst Inc Cases is not positive,Costco,CG-COSTCO EAST,2026,August,6320908885,TDL ORIGINAL BLEND 252/3 LB,000ITPJOP,Committed,0.0,2026-01-01,2026-12-30,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,7,TD Costco East Pulsed 3LB Can Endcap-see notes for contracts
mom,Fcst Inc Cases is not positive,Costco,CG-COSTCO WEST,2026,August,6320908885,TDL ORIGINAL BLEND 252/3 LB,000ITPJO2,Committed,0.0,2026-01-01,2026-12-30,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,9,TD Costco West Pulsed 3LB Can Endcap-see notes for contracts
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000IOS347,Committed,0.0,2026-02-28,2026-03-06,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,73,TD SDM WK 9 Kcups 10/12ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000IYNUSU,Committed,0.0,2026-03-14,2026-03-20,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,89,TD SDM WK 11 Kcups 10/12ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000J0SSEL,Committed,0.0,2026-03-28,2026-04-03,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,105,TD SDM WK 13 Kcups 10/12ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000J6O4SW,Committed,0.0,2026-05-23,2026-05-29,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,148,TD SDM Wk 21 Kcups 10/12Ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000J7O6OG,Committed,0.0,2026-06-06,2026-06-12,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,160,TD SDM Wk 23 Kcups 10/12Ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000J9FJYU,Committed,0.0,2026-06-20,2026-06-26,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,169,TD SDM Wk 25 Kcups 10/12Ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000JB0EIE,Committed,0.0,2026-07-04,2026-07-10,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,180,TD SDM Wk 27 Kcups 10/12Ct ISF
mom,Fcst Inc Cases is not positive,SDM,CG-SDM,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000JCHLH4,Committed,0.0,2026-07-18,2026-07-24,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,187,TD SDM Wk 27 Kcups 10/12Ct ISF
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDSHSP-24/284,SOUPS 24/284ML,000IQ3QUT,Committed,0.0,2026-01-01,2026-01-28,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,254,TD IGA AD  Jan 22-28  Soups 284ml
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000ITIX4J,Committed,0.0,2026-02-05,2026-02-11,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,278,TD IGA  Flap Up Beverage AD 5 to 11 feb   HC Event Breakfast
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,6320912133,TDL ORG/DR KCUP DISPLAY 48/12 CT,000ITIV0R,Closed,0.0,2026-02-19,2026-02-25,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,308,TD IGA AD & Booking Feb 19-25   300g Bags-Buying show price
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000J34387,Committed,0.0,2026-02-19,2026-04-08,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,322,TD IGA Side Panel for Promo Feb 19-April 8
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000J5H5H4,Committed,0.0,2026-03-19,2026-03-25,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,332,TD IGA AD  Mar 19-25  Scene points (price increase Agreement
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000J7SVIL,Committed,0.0,2026-04-09,2026-05-13,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,370,TD IGA Side Panel for Promo April 9- May 13 Kcup 12
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000J5H5HE,Committed,0.0,2026-04-16,2026-04-22,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,377,TD IGA AD  April 16-22 Scene points(price increase Agreement
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000ITIUBV,Committed,0.0,2026-05-01,2026-05-30,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,398,TD SBYQ  Flap Up Beverage AD MAP WE March 5
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000ITIY69,Committed,0.0,2026-05-14,2026-07-08,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,417,TD IGA Side Panel  2026 Promo May 14-July 8 300g  Org $29K
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDSSKC-6/10,SS KCOMP 6/10CT,000J8X0UQ,Committed,0.0,2026-06-04,2026-06-10,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,462,TD Bonichoix BP June 4-10   12ct
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000ITIV2V,Committed,0.0,2026-07-09,2026-07-15,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,513,TD IGA AD July 9-15  HC 10ct 12ct - Scene Points (price incr
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDSHSP-24/284,SOUPS 24/284ML,000ITIW24,Committed,0.0,2026-07-09,2026-08-26,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,526,TD IGA EDLP July 9-Aug 26   Hot Bowls
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000ITISDH,Committed,0.0,2026-07-23,2026-07-29,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,548,TD IGA AD  July 23-29  300gr Bags ( Scene points price incre
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,6320923343,TDL KCUP PUMPKIN SPICE SS 6/12 CT,000ITISJZ,Committed,0.0,2026-08-20,2026-08-26,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,584,TD IGA AD & Booking  Aug 20-26   HC-10ct 12ct
mom,Fcst Inc Cases is not positive,Sobeys Quebec,CG-SOBEY'S QUEBEC,2026,August,TDL,TDL CAN,000ITIV6O,Planned,0.0,2026-09-01,2026-12-30,DR 2026 - 2026-08-04 (EXCEXP_TLS_000JGVABX).xlsx,Rebates,626,TD SBYQ  Scene points $25k Promo spend
