source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description,unmapped_reason
2025,11,BT-SOBEYS QC MONTREAL,TDL,TDL CAN,23158.0,000J2ZD28,Special,TD*Unrecoverable < $100.00,Product ID not found in product list or no pack size
2025,35,CG-SDM,TDL,TDL CAN,32915.0,000IL6284,Contract,TD SDM P4-P6 2025 Coffee Partnership JBP Lumpsum,Product ID not found in product list or no pack size
2025,100,CG-SDM,TDL,TDL CAN,179.0,000ILE1ON,Contract,TD SDM NON-PRODUCT COMMITMENT,Product ID not found in product list or no pack size
2025,102,CG-SDM,TDL,TDL CAN,179.0,000ILE1OC,Contract,TD SDM Q2 2025 TLS BILLING - TDL CLIENT 2.75% OUTBOUND,Product ID not found in product list or no pack size
2025,409,CG-SOBEY'S QUEBEC,TDL,TDL CAN,157810.0,000I4HAYQ,Display,TD SBYQ  Flap Up Beverage AD MAP WE March 5,Product ID not found in product list or no pack size
2025,411,CG-SOBEY'S QUEBEC,TDL,TDL CAN,157810.0,000HLTFU8,Special,TD IGA Side Panel,Product ID not found in product list or no pack size
2025,413,CG-SOBEY'S QUEBEC,TDL,TDL CAN,202274.0,000HLTCNI,Display,TD SBYQ  Scene points $25k,Product ID not found in product list or no pack size
2025,415,CG-SOBEY'S QUEBEC,TDL,TDL CAN,202274.0,000HLTARL,Display,TD SBYQ  Flap UpBeverage,Product ID not found in product list or no pack size
2025,417,CG-SOBEY'S QUEBEC,TDL,TDL CAN,202274.0,000HLTCHU,Special,TD IGA Marche communautaire,Product ID not found in product list or no pack size
2025,419,CG-SOBEY'S QUEBEC,TDL,TDL CAN,9292.0,000HLTE1J,Flyer,TD IGA AD March 13-19   Tassimo,Product ID not found in product list or no pack size
2025,474,CG-SOBEY'S QUEBEC,TDL,TDL CAN,7672.0,000HLTAQW,Display,TD IGA AD Apr 17-23  HC & encart,Product ID not found in product list or no pack size
